index,Test Case ID,Scenario ID,Module,Feature,Case Type,Test Case Description,Steps,Preconditions,Test Data,Expected Result,Priority,Severity,Impact,Test Level,Test Type,Version
11,TC-CTX-5052-003,TS-CTX-5052,IPD,IPD Order Acknowledge by Nurse,Unhappy,ไม่สามารถ acknowledge ซ้ำรายการที่ถูก acknowledge แล้ว,"1. เข้าสู่ระบบด้วย role พยาบาลที่มีสิทธิ์ใช้งาน
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. เลือก order ที่ถูก acknowledge แล้ว
4. พยายามกด Acknowledge ซ้ำ",มี order ที่ acknowledged แล้ว,"Acknowledged order 1 รายการ",ระบบไม่อนุญาตให้ acknowledge ซ้ำและไม่เปลี่ยนข้อมูลผิดจากเดิม,Medium,HIGH,MEDIUM,System,Functional,1.0.0
12,TC-CTX-5052-004,TS-CTX-5052,IPD,IPD Order Acknowledge by Nurse,Error,ผู้ใช้ที่ไม่ใช่ role ที่เกี่ยวข้องต้องไม่สามารถ acknowledge order ได้,"1. เข้าสู่ระบบด้วยผู้ใช้ที่ไม่มีสิทธิ์ acknowledge
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. ตรวจสอบ action acknowledge",ผู้ใช้ไม่มีสิทธิ์สำหรับ acknowledge order,"Role: Physician without nurse acknowledge permission",ปุ่มหรือ action acknowledge ไม่แสดงหรือไม่สามารถใช้งานได้,High,HIGH,HIGH,System,Functional,1.0.0
13,TC-CTX-5058-001,TS-CTX-5058,IPD,Cancel IPD Order,Happy,ผู้ใช้สามารถยกเลิก IPD order รายการเดียวได้สำเร็จ,"1. เข้าสู่ระบบด้วยผู้ใช้ที่มีสิทธิ์จัดการ order
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. เลือก order ที่อนุญาตให้ cancel
4. กด Cancel
5. ยืนยันการยกเลิกถ้ามี",มี order ที่อยู่ในสถานะสามารถยกเลิกได้,"Cancelable order 1 รายการ",ระบบยกเลิก order สำเร็จและสถานะ order เปลี่ยนเป็น canceled หรือสถานะที่เทียบเท่าตาม business rule,High,CRITICAL,HIGH,System,Functional,1.0.0
14,TC-CTX-5058-002,TS-CTX-5058,IPD,Cancel IPD Order,Happy,ผู้ใช้สามารถยกเลิก IPD order หลายรายการด้วยการส่ง ids ได้สำเร็จ,"1. เข้าสู่ระบบด้วยผู้ใช้ที่มีสิทธิ์จัดการ order
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. เลือก order หลายรายการที่อนุญาตให้ cancel
4. กด Cancel
5. ยืนยันการยกเลิกถ้ามี",มี order หลายรายการที่ cancel ได้,"Cancelable orders 2-3 รายการ",ระบบยกเลิกได้ครบทุก id ที่เลือกและสถานะของแต่ละรายการเปลี่ยนถูกต้อง,High,CRITICAL,HIGH,System,Functional,1.0.0
15,TC-CTX-5058-003,TS-CTX-5058,IPD,Cancel IPD Order,Unhappy,ไม่สามารถยกเลิก order ที่อยู่ในสถานะไม่อนุญาตได้,"1. เข้าสู่ระบบด้วยผู้ใช้ที่มีสิทธิ์จัดการ order
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. เลือก order ที่อยู่ในสถานะไม่อนุญาตให้ cancel
4. กด Cancel",มี order ที่ business rule ไม่อนุญาตให้ยกเลิก,"Signed or already canceled order",ระบบไม่ยกเลิกข้อมูลและแสดงข้อความแจ้งเตือนหรือข้อผิดพลาดที่เหมาะสม,High,HIGH,HIGH,System,Functional,1.0.0
16,TC-CTX-5058-004,TS-CTX-5058,IPD,Cancel IPD Order,Error,ผู้ใช้ไม่มีสิทธิ์ต้องไม่สามารถยกเลิก order ได้,"1. เข้าสู่ระบบด้วยผู้ใช้ที่ไม่มีสิทธิ์ cancel order
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. ตรวจสอบ action cancel",ผู้ใช้ไม่มีสิทธิ์ยกเลิก order,"Role without cancel permission",ปุ่มหรือ action cancel ไม่แสดงหรือไม่สามารถใช้งานได้,High,HIGH,HIGH,System,Functional,1.0.0
17,TC-CTX-5061-001,TS-CTX-5061,IPD,Edit IPD Order,Happy,ผู้ใช้สามารถแก้ไขข้อมูล IPD order item ได้สำเร็จ,"1. เข้าสู่ระบบด้วยผู้ใช้ที่มีสิทธิ์แก้ไข order
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. เลือก order item ที่อนุญาตให้แก้ไข
4. กด Edit
5. ปรับข้อมูลบางฟิลด์ เช่น dose หรือ direction
6. กดบันทึก",มี order item ที่อนุญาตให้แก้ไขและ admission context โหลดสำเร็จ,"Order Item: Paracetamol 500 mg; New Direction: หลังอาหารเช้า-เย็น",ระบบบันทึกข้อมูลที่แก้ไขสำเร็จและแสดงค่าล่าสุดบนหน้าจออย่างถูกต้อง,High,CRITICAL,HIGH,System,Functional,1.0.0
18,TC-CTX-5061-002,TS-CTX-5061,IPD,Edit IPD Order,Unhappy,แก้ไข order ไม่สำเร็จเมื่อข้อมูล ParsableDirection ไม่ผ่าน validation,"1. เข้าสู่ระบบด้วยผู้ใช้ที่มีสิทธิ์แก้ไข order
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. เลือก order item
4. กด Edit
5. กรอก direction ในรูปแบบที่ไม่ผ่าน validation
6. กดบันทึก",มี order item ที่อนุญาตให้แก้ไข,"ParsableDirection: ค่าว่าง หรือรูปแบบไม่ถูกต้อง",ระบบไม่บันทึกข้อมูลและแสดง validation message สำหรับ direction อย่างชัดเจน,High,CRITICAL,HIGH,System,Functional,1.0.0
19,TC-CTX-5061-003,TS-CTX-5061,IPD,Edit IPD Order,Error,แก้ไข order ไม่สำเร็จเมื่อระบบไม่สามารถ resolve pharmacy routing location ได้,"1. เข้าสู่ระบบด้วยผู้ใช้ที่มีสิทธิ์แก้ไข order
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. เลือก order item ที่เกี่ยวข้องกับ medication
4. กด Edit และบันทึกข้อมูล",environment หรือ master data ของ pharmacy routing location ไม่ครบ,"Medication order ที่ default pharmacy room routing location id ไม่ถูกตั้งค่า",ระบบไม่บันทึกข้อมูลและแสดง error ที่สื่อความหมายได้ว่าข้อมูลอ้างอิง pharmacy ไม่ครบ,High,CRITICAL,HIGHEST,System,Functional,1.0.0
20,TC-CTX-5061-004,TS-CTX-5061,IPD,Edit IPD Order,Unhappy,ผู้ใช้ไม่มีสิทธิ์ต้องไม่สามารถแก้ไข IPD order ได้,"1. เข้าสู่ระบบด้วยผู้ใช้ที่ไม่มีสิทธิ์แก้ไข order
2. เปิด patient workspace ด้วย HN และ AN ที่ valid
3. ตรวจสอบ action edit ของ order item",ผู้ใช้ไม่มีสิทธิ์แก้ไข order,"Role without edit permission",ปุ่มหรือ action edit ไม่แสดงหรือไม่สามารถใช้งานได้ตาม permission gate,High,HIGH,HIGH,System,Functional,1.0.0
